"Channel_ID","Channel_Name","Date","Start_Time","End_Time","Duration_Minutes","Show_Title","Genre","Episode_Synopsis","Rating"
"CH05","ToonZone Kids","2026-09-20","13:30","15:00",90,"Cosmic Racers GP","Animation","Intergalactic hovercraft rally across asteroid rings","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","15:00","16:30",90,"Ninja Academy: Next Gen","Animation","Stealth trials and teamwork challenges in the bamboo grove","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","16:30","18:00",90,"The Magical Quest of Penny & Pip","Adventure","A young sorceress restores balance to the Whispering Woods","TV-Y7"
"CH05","ToonZone Kids","2026-09-20","18:00","19:30",90,"Super Mech Titans","Action Kids","Giant mecha defenders shield Earth from alien invaders","TV-Y7-FV"
"CH05","ToonZone Kids","2026-09-20","19:30","21:00",90,"ToonZone Family Feature: The Star Whale","Animated Movie","A boy and a celestial whale travel across the aurora","TV-PG"
"CH05","ToonZone Kids","2026-09-20","21:00","22:30",90,"Late Night Anime: Chrono Knight","Anime","Time-traveling duelists battle across alternate timelines","TV-14"
"CH05","ToonZone Kids","2026-09-20","22:30","00:00",90,"Mech Squadron Neo","Anime","Colony defense forces battle rogue orbital drones","TV-14"
"CH06","Prime Drama HD","2026-09-20","00:00","01:00",60,"The Crowned Order (Ep 8)","Historical Drama","Treachery at the royal winter solstice banquets","TV-MA"
"CH06","Prime Drama HD","2026-09-20","01:00","02:00",60,"Cold Case Unit: Nordic Nights","Nordic Noir","Detectives reopen a 1988 cold case near Trondheim","TV-MA"
"CH06","Prime Drama HD","2026-09-20","02:00","04:00",120,"Silent Echoes: The Complete Miniseries","Mystery","A coastal town hides secrets surrounding an abandoned lighthouse","TV-14"
"CH06","Prime Drama HD","2026-09-20","04:00","06:00",120,"Wuthering Heights (2020 Adaptation)","Period Drama","Passionate tale of obsession on the Yorkshire moors","TV-14"
"CH06","Prime Drama HD","2026-09-20","06:00","07:00",60,"London Barristers: Morning Court","Legal Drama","Young defense attorneys tackle tough juvenile cases","TV-PG"
"CH06","Prime Drama HD","2026-09-20","07:00","09:00",120,"St. Jude Hospital: Ward 4","Medical Drama","Emergency room resident doctors face a multi-car collision","TV-14"
"CH06","Prime Drama HD","2026-09-20","09:00","11:00",120,"Downton Chronicles","Period Drama","Upstairs and downstairs rivalries during harvest festival","TV-PG"
"CH06","Prime Drama HD","2026-09-20","11:00","13:00",120,"City Hall: The Backrooms","Political Drama","City council mayoral election race heats up","TV-14"
"CH06","Prime Drama HD","2026-09-20","13:00","15:00",120,"Atlantic Shipping Syndicate","Corporate Drama","A family dynasty struggles over succession and container port rights","TV-14"
"CH06","Prime Drama HD","2026-09-20","15:00","17:00",120,"Detective Inspector Cross","Crime Drama","Cross unravels an intricate art forgery syndicate in Soho","TV-14"
"CH06","Prime Drama HD","2026-09-20","17:00","19:00",120,"Heartland Horizons","Family Drama","Three generations rebuild a generational horse ranch","TV-PG"
"CH06","Prime Drama HD","2026-09-20","19:00","20:00",60,"The Diplomat's Wife","Espionage Drama","Covert negotiations in Vienna during the trade treaty","TV-14"
"CH06","Prime Drama HD","2026-09-20","20:00","21:00",60,"Succession of Shadows (Premiere)","Prestige Drama","Tech billionaire's will leaves board in chaos","TV-MA"
"CH06","Prime Drama HD","2026-09-20","21:00","22:00",60,"The District Attorney","Legal Thriller","A high-stakes murder trial with corrupted forensic evidence","TV-MA"
"CH06","Prime Drama HD","2026-09-20","22:00","23:00",60,"Undercover: Berlin Station","Thriller","Deep-cover agent in danger as safe houses are compromised","TV-MA"
"CH06","Prime Drama HD","2026-09-20","23:00","00:00",60,"Midnight Solitude","Psychological Drama","A lonely author receives eerie letters from her fictional character","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","00:00","01:00",60,"Stand-Up Raw: After Hours","Stand-Up","Uncensored live comedy from underground club circuit","TV-MA"
"CH07","Laugh Lounge Comedy","2026-09-20","01:00","02:00",60,"The Roast of Barry Stone","Roast Comedy","Comedians roast veteran actor Barry Stone","TV-MA"
"CH07","Laugh Lounge Comedy","2026-09-20","02:00","04:00",120,"Retro Sitcom Marathon: Roomies 90s","Classic Sitcom","Four mismatched college grads share a Brooklyn loft","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","04:00","05:00",60,"Whose Joke Is It Anyway?","Improv Comedy","Fast-paced short-form improv games with studio audience","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","05:00","06:00",60,"Candid Pranks International","Hidden Camera","Elaborate harmless pranks filmed across global transit hubs","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","06:00","07:30",90,"Morning Chuckles: The Best of Standup","Stand-Up","Clean, feel-good morning comedy sets","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","07:30","09:00",90,"Family Chaos Sitcom","Sitcom","Dad accidentally orders 500 pizzas for school fundraiser","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","09:00","10:30",90,"Tech Support Sitcom: Reboot Me","Sitcom","Eccentric IT crew trapped in basement server room","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","10:30","12:00",90,"Suburban Blunders","Sitcom","HOA neighborhood election turns into comical warfare","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","12:00","13:30",90,"The Corner Deli Chronicles","Comedy","Daily misadventures of deli clerks in downtown Queens","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","13:30","15:00",90,"Mock Trial: The Silly Court","Comedy Court","Fictional disputes judged by improvisational comedians","TV-PG"
"CH07","Laugh Lounge Comedy","2026-09-20","15:00","17:00",120,"Comedy Central Roasts: Best Hits","Roast","Classic celebrity roast highlights from the vault","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","17:00","18:30",90,"The Late Lunch Show with Dave","Talk/Comedy","Celebrity sketches, monologue, and musical parody","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","18:30","20:00",90,"Office Politics: The Merger","Sitcom","Two rival advertising agencies forced to share one floor","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","20:00","21:30",90,"Friday Night Live Showcase","Sketch Comedy","Live topical satire, celebrity parodies, and guest band","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","21:30","23:00",90,"Gala Comedy Night from Edinburgh","Stand-Up Special","Showcases from the world's largest fringe festival","TV-14"
"CH07","Laugh Lounge Comedy","2026-09-20","23:00","00:00",60,"Late Night Stand-Up Showcase","Stand-Up","Rising stars perform ten-minute sets","TV-MA"
"CH08","Culinary & Living","2026-09-20","00:00","01:30",90,"Bake Off: Midnight Masterpieces","Cooking Competition","Pâtissiers construct intricate sugar glass towers","TV-G"
"CH08","Culinary & Living","2026-09-20","01:30","03:00",90,"Wines of Bordeaux & Tuscany","Lifestyle/Travel","Visiting historic vineyards and cellar blending sessions","TV-G"
"CH08","Culinary & Living","2026-09-20","03:00","04:30",90,"Artisan Cheesemaking of the Alps","Food Culture","Centuries-old alpine dairy traditions in Switzerland","TV-G"
"CH08","Culinary & Living","2026-09-20","04:30","06:00",90,"Zen Gardens & Japanese Homes","Architecture","Minimalist living spaces and mindful garden designs","TV-G"
"CH08","Culinary & Living","2026-09-20","06:00","07:00",60,"Rise & Grind: Artisan Coffee Culture","Morning Lifestyle","Espresso bean origins, roasting techniques, and barista art","TV-G"
"CH08","Culinary & Living","2026-09-20","07:00","08:30",90,"The Breakfast Pantry with Chef Clara","Cooking","Fluffy souffle pancakes and artisanal breakfast preserves","TV-G"
"CH08","Culinary & Living","2026-09-20","08:30","10:00",90,"Tiny Homes, Big Dreams","Home Improvement","Transforming shipping containers into luxury woodland cabins","TV-G"
"CH08","Culinary & Living","2026-09-20","10:00","11:30",90,"Italian Nonna's Secret Recipes","Cooking","Handmade tagliatelle, ragù bolognese, and tiramisu","TV-G"
"CH08","Culinary & Living","2026-09-20","11:30","13:00",90,"Street Food Journeys: Bangkok & Hanoi","Travel & Food","Sizzling woks, night markets, and authentic pho broths","TV-G"
"CH08","Culinary & Living","2026-09-20","13:00","14:30",90,"Farm to Table with Oliver","Culinary","Seasonal heirloom vegetables and wood-fired oven pizzas","TV-G"
"CH08","Culinary & Living","2026-09-20","14:30","16:00",90,"Grand French Pastry Championship","Baking","Eclairs, macarons, and mille-feuille judged by master bakers","TV-G"
"CH08","Culinary & Living","2026-09-20","16:00","17:30",90,"Dream House Renovations","Interior Design","Restoring a rundown 19th-century Victorian manor","TV-G"
"CH08","Culinary & Living","2026-09-20","17:30","19:00",90,"The Sizzle: Ultimate BBQ Battles","Food Competition","Brisket and ribs slow-smoked in Texas-style pit grills","TV-PG"
"CH08","Culinary & Living","2026-09-20","19:00","20:30",90,"Michelin Kitchen Secrets: 3 Stars","Documentary/Food","Intense precision inside Copenhagen's top kitchen","TV-PG"
"CH08","Culinary & Living","2026-09-20","20:30","22:00",90,"Iron Chef Global Showdown","Cooking Competition","Secret ingredient revealed: White truffle & wild salmon","TV-G"
"CH08","Culinary & Living","2026-09-20","22:00","23:30",90,"Cocktail Chemistry & Nightlife","Lifestyle","Mixology craft cocktails, smoking infusions, and bar styling","TV-14"
"CH08","Culinary & Living","2026-09-20","23:30","00:00",30,"Midnight Street Eats","Food Travel","Tokyo ramen stalls open until sunrise","TV-PG"
"CH09","SciFi & Beyond","2026-09-20","00:00","02:00",120,"Alien Incursion: The Colony","Movie - SciFi Horror","Miners on a distant moon disturb a dormant hive","TV-MA"
"CH09","SciFi & Beyond","2026-09-20","02:00","03:30",90,"Stargate Chronicles (Ep 42)","Sci-Fi Series","The expedition discovers an ancient portal in deep space","TV-14"
"CH09","SciFi & Beyond","2026-09-20","03:30","05:00",90,"Quantum Paradox: Alternate Realities","Sci-Fi Mystery","Physicist jumps between diverging timelines to find home","TV-14"
"CH09","SciFi & Beyond","2026-09-20","05:00","06:30",90,"Cyberpunk 2099: Neon City","Animation/Sci-Fi","A cyborg runner takes a forbidden data courier contract","TV-14"
"CH09","SciFi & Beyond","2026-09-20","06:30","08:00",90,"Voyage Beyond Andromeda","Sci-Fi Adventure","Generation ship navigates dangerous cosmic gravitational wells","TV-PG"
"CH09","SciFi & Beyond","2026-09-20","08:00","10:00",120,"The Time Traveler's Compass","Fantasy Drama","An antique watch opens portals to forgotten historical eras","TV-PG"
"CH09","SciFi & Beyond","2026-09-20","10:00","12:00",120,"Realm of Dragons: Book 3","High Fantasy","Dragon riders confront shadow warlocks at Sunken Citadel","TV-PG"
"CH09","SciFi & Beyond","2026-09-20","12:00","14:00",120,"Deep Orbit Station 9","Sci-Fi Series","Trade negotiations between alien ambassadors turn volatile","TV-PG"
"CH09","SciFi & Beyond","2026-09-20","14:00","16:00",120,"The Matrix Awakening (Special)","Sci-Fi Special","Exploring simulated consciousness and future robotics","TV-14"
"CH09","SciFi & Beyond","2026-09-20","16:00","18:00",120,"Galactic Armada: Sector War","Space Opera","Cruisers engage fleet skirmishes on the outer galactic rim","TV-14"
"CH09","SciFi & Beyond","2026-09-20","18:00","20:00",120,"AI Odyssey: Sentience","Sci-Fi Thriller","A sentient household droid escapes to find its creator","TV-14"
"CH09","SciFi & Beyond","2026-09-20","20:00","22:30",150,"Interstellar Horizon (Movie)","Sci-Fi Epic","A crew embarks on a multi-generational warp mission","TV-14"
"CH09","SciFi & Beyond","2026-09-20","22:30","00:00",90,"Dystopia 2084: Blackout","Cyberpunk","A mega-corporation cuts power to rebellious lower districts","TV-MA"
"CH10","Music Beats & Culture","2026-09-20","00:00","02:00",120,"Club Underground: Berlin Techno Sets","Electronic Music","Live DJ sets recorded at legendary Berlin industrial venues","TV-14"
"CH10","Music Beats & Culture","2026-09-20","02:00","04:00",120,"Lo-Fi Beats & Chill Visuals","Ambient Music","Relaxing chillout beats accompanied by cityscape drone footage","TV-G"
"CH10","Music Beats & Culture","2026-09-20","04:00","05:30",90,"Dawn Ambient Acoustic Sessions","Acoustic","Morning acoustic guitar and cello improvisation","TV-G"
"CH10","Music Beats & Culture","2026-09-20","05:30","07:00",90,"Retro Pop 80s & 90s Hits","Music Videos","Non-stop iconic synthpop and dance hits from the MTV era","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","07:00","09:00",120,"Morning Jumpstart Top 40","Music Countdown","The 40 most streamed tracks of the week with video premieres","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","09:00","11:00",120,"Indie Wave: Fresh Finds","Indie Rock","Emerging indie bands, live bedroom pop, and garage riffs","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","11:00","12:30",90,"Jazz Cafe Live from Montreux","Jazz","Legendary jazz ensembles perform classic modal standards","TV-G"
"CH10","Music Beats & Culture","2026-09-20","12:30","14:00",90,"Hip-Hop Cyphers & Golden Era","Hip-Hop","Freestyle cyphers and interviews with pioneer beatmakers","TV-14"
"CH10","Music Beats & Culture","2026-09-20","14:00","16:00",120,"Global Rhythms: Afrobeat & Latin Beats","World Music","High-energy grooves from Lagos, Havana, and Rio de Janeiro","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","16:00","18:00",120,"Rock Legends: Studio Sessions","Rock","Archival recordings and master tape breakdowns of rock anthems","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","18:00","19:30",90,"The Sunset Acoustic Lounge","Acoustic / Folk","Intimate rooftop sets with singer-songwriters","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","19:30","21:00",90,"Global Pop Chart Show Live","Pop Music","Host-led countdown of worldwide chart toppers and interviews","TV-PG"
"CH10","Music Beats & Culture","2026-09-20","21:00","23:00",120,"Arena Live: Stadium Rock Tour","Concert","Massive stadium performance with 80,000 screaming fans","TV-14"
"CH10","Music Beats & Culture","2026-09-20","23:00","00:00",60,"EDM Mainstage Highlights","Dance Music","Spectacular festival pyro and laser shows from Tomorrowland","TV-14"
